title,title_name,chapter,section,violation_summary,sentence_count
8,Aliens and Nationality,12,1326,"Reentry of a removed alien (8 U.S.C. 1326), if alien described in subsection (b)(1) or (2).","137,434"
21,Food and Drugs,13,841(b)(1)(C),"Gamma hydroxybutyric acid, etc. manufacturing or distribution, for which death or serious bodily injury resulted from the use of such substance","87,787"
21,Food and Drugs,13,841(b)(1)(A),"(Higher amount of heroin, cocaine, etc.) manufacturing or distribution, for which death or serious bodily injury resulted from the use of such substance","78,865"
21,Food and Drugs,13,841(b)(1)(B),"(Lower amount of heroin, cocaine, etc.) manufacturing or distribution, for which death or serious bodily injury resulted from the use of such substance","62,248"
18,Crimes and Criminal Procedure,44,924(c),Unlawful possession of firearms.,"57,399"
21,Food and Drugs,21,841,Controlled substance manufacturing/distribution causing death or serious injury.,"55,103"
18,Crimes and Criminal Procedure,7,115,Retaliating against federal officials by injuring family members (excluding threats).,"11,113"
18,Crimes and Criminal Procedure,35,751,Prisoners in custody of institution or officer.,"10,925"
18,Crimes and Criminal Procedure,110,2252,Activities involving material of sexual exploitation of minors.,"8,830"
18,Crimes and Criminal Procedure,109B,2250,Failure to register as a sex offender.,"7,783"
18,Crimes and Criminal Procedure,110,2251,Sexual exploitation of children.,"4,178"
18,Crimes and Criminal Procedure,87,1791,Contraband in prison.,"3,389"
18,Crimes and Criminal Procedure,7,111(b),Assaulting/resisting officers with deadly weapon or causing bodily injury.,"2,811"
18,Crimes and Criminal Procedure,77,1591,"Sex trafficking of children or by force, fraud, or coercion","2,511"
18,Crimes and Criminal Procedure,103,2119,Carjacking.,"1,777"
18,Crimes and Criminal Procedure,55,1201,Kidnapping,"1,476"
18,Crimes and Criminal Procedure,40,844(i),"Whoever maliciously damages or destroys, or attempts to damage or destroy, by means of fire or an explosive, any building, vehicle, or other real or personal property used in interstate or foreign commerce...","1,058"
21,Food and Drugs,13,960(b)(1),"If (I) the offense involved a mixture or substance containing a detectable amount of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide, or any analogue thereof; and (II) the offender was an organizer, leader, manager, or supervisor of others in the offense, as determined under the guidelines promulgated by the United States Sentencing Commission.","1,023"
18,Crimes and Criminal Procedure,7,113(a)(7),"Assault resulting in substantial bodily injury to a spouse or intimate partner, a dating partner, or an individual who has not attained the age of 16 years, by a fine under this title or imprisonment for not more than 5 years, or both.","1,022"
18,Crimes and Criminal Procedure,7,113(a)(8),"Assault of a spouse, intimate partner, or dating partner by strangling, suffocating, or attempting to strangle or suffocate, by a fine under this title, imprisonment for not more than 10 years, or both.","1,020"
21,Food and Drugs,13,960(b)(2),"If (I) the offense involved a mixture or substance containing a detectable amount of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide, or any analogue thereof; and (II) the offender was an organizer, leader, manager, or supervisor of others in the offense, as determined under the guidelines promulgated by the United States Sentencing Commission.",730
18,Crimes and Criminal Procedure,10,175,Prohibitions with respect to biological weapons,479
18,Crimes and Criminal Procedure,51,1111,Murder,323
18,Crimes and Criminal Procedure,7,117,Domestic assault by a habitual offender.,302
18,Crimes and Criminal Procedure,5,81,Arson within special maritime and territorial jurisdiction.,301
18,Crimes and Criminal Procedure,7,116,Female genital mutilation.,278
18,Crimes and Criminal Procedure,109A,2243,"Sexual abuse of a minor, a ward, or an individual in Federal custody",167
18,Crimes and Criminal Procedure,7,113(a)(1),"Assault with intent to commit murder or a violation of section 2241 or 2242, by a fine under this title, imprisonment for not more than 20 years, or both.",164
18,Crimes and Criminal Procedure,110,2260,Production of sexually explicit minor depictions for importation.,150
18,Crimes and Criminal Procedure,55,1203,Hostage taking,136
18,Crimes and Criminal Procedure,109A,2241,Aggravated sexual abuse,133
18,Crimes and Criminal Procedure,40,844(h),"Whoever uses fire or an explosive to commit any felony which may be prosecuted in a court of the United States or carries an explosive during the commission of any felony which may be prosecuted in a court of the United States,",128
18,Crimes and Criminal Procedure,109A,2244,Abusive sexual contact,120
18,Crimes and Criminal Procedure,109A,2242,Sexual abuse,118
18,Crimes and Criminal Procedure,103,2113(e),Bank robbery resulting in death.,93
18,Crimes and Criminal Procedure,41,871,Threats against the President and successors.,82
18,Crimes and Criminal Procedure,87,1792,Mutiny and riots.,73
18,Crimes and Criminal Procedure,2,32,Destruction of aircraft or aircraft facilities.,69
18,Crimes and Criminal Procedure,113B,2339,Harboring or concealing terrorists,60
18,Crimes and Criminal Procedure,77,1589,Forced labor,43
18,Crimes and Criminal Procedure,97,1992,Terrorist attacks and violence against railroad and mass transportation systems.,33
18,Crimes and Criminal Procedure,51,1117,Conspiracy to murder,26
18,Crimes and Criminal Procedure,2,36,Drive-by shootings.,25
18,Crimes and Criminal Procedure,77,1597,Unlawful conduct with respect to immigration documents,23
18,Crimes and Criminal Procedure,51,1114,Protection of officers and employees of the United States,21
18,Crimes and Criminal Procedure,103,2118(c),Robberies/burglaries involving controlled substances with assault or death risk.,20
18,Crimes and Criminal Procedure,55,1202,Ransom money,16
18,Crimes and Criminal Procedure,77,1590,"Trafficking with respect to peonage, slavery, involuntary servitude, or forced labor",15
18,Crimes and Criminal Procedure,18,351,"Assassination, kidnapping, assault against Congressional, Cabinet, and Supreme Court members.",14
8,Aliens and Nationality,12,1328,Importation of an alien for immoral purposes (8 U.S.C. 1328).,12
18,Crimes and Criminal Procedure,77,1592,"Unlawful conduct with respect to documents in furtherance of trafficking, peonage, slavery, involuntary servitude, or forced labor",11
18,Crimes and Criminal Procedure,109A,2247,Repeat offenders,9
18,Crimes and Criminal Procedure,113B,2332,Criminal penalties,7
18,Crimes and Criminal Procedure,11B,229,Chemical weapons: Prohibited activities,6
50,War and National Defense,35,1705,Violation of International Emergency Economic Powers Act.,5
8,Aliens and Nationality,12,1327,Aiding or assisting certain aliens to enter the U.S. (8 U.S.C. 1327).,4
18,Crimes and Criminal Procedure,2,33,Destruction of motor vehicles or motor vehicle facilities.,4
18,Crimes and Criminal Procedure,40,842(p),Distribution of explosives info related to weapons of mass destruction.,3
18,Crimes and Criminal Procedure,55,1204,International parental kidnapping,3
18,Crimes and Criminal Procedure,37,794,Gathering or delivering defense information to aid a foreign government.,2
18,Crimes and Criminal Procedure,113C,2340A,Torture.,2
